date,vaccines,tests,confirmed,recovered,deaths,hosp,vent,icu,population,school_closing,workplace_closing,cancel_events,gatherings_restrictions,transport_closing,stay_home_restrictions,internal_movement_restrictions,international_movement_restrictions,information_campaigns,testing_policy,contact_tracing,stringency_index,iso_alpha_3,iso_alpha_2,iso_numeric,currency,administrative_area_level,administrative_area_level_1,administrative_area_level_2,administrative_area_level_3,latitude,longitude,key,key_google_mobility,key_apple_mobility,key_numeric,key_alpha_2
2020/12/4,0,22783752,1318139,0,19791,10194,0,2267,39512223,3,2,2,4,0,2,1,3,2,3,2,63.43,USA,US,840,USN,2,United States,California,,36.58249626,-116.7043077,,California,California,6,CA
2020/12/5,0,23010787,1343145,0,19876,10547,0,2379,39512223,3,2,2,4,0,2,1,3,2,3,2,63.43,USA,US,840,USN,2,United States,California,,36.58249626,-116.7043077,,California,California,6,CA
2020/12/6,0,23213568,1371940,0,19937,10831,0,2450,39512223,3,2,2,4,0,2,1,3,2,3,2,63.43,USA,US,840,USN,2,United States,California,,36.58249626,-116.7043077,,California,California,6,CA
2020/12/7,0,23455988,1399167,0,20052,11374,0,2524,39512223,3,2,2,4,0,2,1,3,2,3,2,63.43,USA,US,840,USN,2,United States,California,,36.58249626,-116.7043077,,California,California,6,CA
2020/12/8,0,23692484,1425432,0,20238,11820,0,2607,39512223,3,2,2,4,0,2,1,3,2,3,2,63.43,USA,US,840,USN,2,United States,California,,36.58249626,-116.7043077,,California,California,6,CA
2020/12/9,0,23972181,1457214,0,20466,12446,0,2702,39512223,3,2,2,4,0,2,1,3,2,3,2,63.43,USA,US,840,USN,2,United States,California,,36.58249626,-116.7043077,,California,California,6,CA
2020/12/10,0,24291490,1491053,0,20636,12957,0,2752,39512223,3,2,2,4,0,2,1,3,2,3,2,63.43,USA,US,840,USN,2,United States,California,,36.58249626,-116.7043077,,California,California,6,CA
2020/12/11,0,24594548,1528177,0,20854,13366,0,2849,39512223,3,2,2,4,0,2,1,3,2,3,2,63.43,USA,US,840,USN,2,United States,California,,36.58249626,-116.7043077,,California,California,6,CA
2020/12/12,0,24846279,1554863,0,20958,13836,0,2909,39512223,3,2,2,4,0,2,1,3,2,3,2,63.43,USA,US,840,USN,2,United States,California,,36.58249626,-116.7043077,,California,California,6,CA
2020/12/13,0,25054023,1590670,0,21043,14478,0,3071,39512223,3,2,2,4,0,2,1,3,2,3,2,63.43,USA,US,840,USN,2,United States,California,,36.58249626,-116.7043077,,California,California,6,CA
2020/12/14,0,25301158,1620870,0,21196,14987,0,3192,39512223,3,2,2,4,0,2,1,3,2,3,2,63.43,USA,US,840,USN,2,United States,California,,36.58249626,-116.7043077,,California,California,6,CA
2020/12/15,0,25606750,1655086,0,21483,15768,0,3260,39512223,3,2,2,4,0,2,1,3,2,3,2,63.43,USA,US,840,USN,2,United States,California,,36.58249626,-116.7043077,,California,California,6,CA
2020/12/16,0,25888815,1716027,0,21881,16381,0,3357,39512223,3,2,2,4,0,2,1,3,2,3,2,63.43,USA,US,840,USN,2,United States,California,,36.58249626,-116.7043077,,California,California,6,CA
